"species","aou","shiftdistance","velocity","direction","abundance","distanceratio"
"Northern Bobwhite",2890,314.290517973489,6.68703229730827,"southeast","decreasing",0.232415631543885
"Scaled Quail",2930,392.614536950511,8.35350078618107,"northwest","decreasing",0.12139685917843
"California Quail",2940,172.696073020989,3.67438453236146,"northeast","increasing",0.0880211505046217
"Sharp-tailed Grouse",3080,184.025917152092,3.91544504578918,"east","increasing",0.0406093966336999
"Wild Turkey",3100,544.90779519048,11.5937828763932,"northeast","increasing",0.097364931725747
"Common Ground-Dove",3200,201.421470073827,4.28556319306014,"north","decreasing",0.042733099053698
"Inca Dove",3210,292.418438225534,6.22166889841561,"northeast","decreasing",0.0869977632092232
"Black Vulture",3260,256.604143340443,5.45966262426474,"north","increasing",0.0752315004268546
"Great Horned Owl",3750,842.001115233066,17.9149173453844,"west","decreasing",0.126986806913654
"Greater Roadrunner",3850,246.31868150773,5.24082301080276,"east","decreasing",0.0486958402059341
"Hairy Woodpecker",3930,617.579151981517,13.1399819570536,"northwest","increasing",0.151175080883202
"Downy Woodpecker",3940,394.004886295846,8.38308268714567,"west","decreasing",0.148057869316859
"Pileated Woodpecker",4050,163.172246222818,3.47174991963442,"northwest","increasing",0.0533797101595346
"Red-bellied Woodpecker",4090,190.849173184312,4.06062070604919,"northwest","increasing",0.138598860422164
"Steller's Jay",4780,246.365531722481,5.24181982388258,"northeast","decreasing",0.0865224016349629
"Common Raven",4860,601.61970684544,12.8004192945838,"west","increasing",0.15222499978031
"Fish Crow",4900,321.513407497045,6.84071079780947,"west","decreasing",0.139438364221317
"Great-tailed Grackle",5120,1723.32541665134,36.6664982266243,"northwest","increasing",0.265899362802394
"Lesser Goldfinch",5300,340.036788698521,7.23482529145789,"east","increasing",0.0736839024990419
"Rufous-crowned Sparrow",5800,716.477858757631,15.2442097608007,"northwest","decreasing",0.0952094195964698
"Northern Cardinal",5930,37.1396792536737,0.790205941567525,"southwest","increasing",0.0329682363045852
"Pyrrhuloxia",5940,298.405429670576,6.34905169511865,"northwest","increasing",0.126294806301151
"Curve-billed Thrasher",7070,334.587871115112,7.11889087478962,"northwest","increasing",0.113526744177125
"Carolina Wren",7180,120.660930797073,2.56725384674624,"southwest","increasing",0.0796295122122761
"Brown-headed Nuthatch",7290,309.561402386595,6.58641281673606,"northeast","increasing",0.14914261733259
"Pygmy Nuthatch",7300,369.74935530352,7.86700755964936,"east","increasing",0.0628035884822177
"Tufted Titmouse",7310,205.024577266024,4.36222504821327,"south","increasing",0.171601768868766
"Black-capped Chickadee",7350,298.248206944489,6.3457065307338,"northwest","increasing",0.140973783033559
"Carolina Chickadee",7360,105.777786220659,2.25059119618423,"east","decreasing",0.0828238968859608
"Mountain Chickadee",7380,46.0240225339882,0.97923452199975,"east","decreasing",0.0149783319815983
"Chestnut-backed Chickadee",7410,246.772261105567,5.25047364054398,"north","decreasing",0.0907005883177306
"Bushtit",7430,102.854042654456,2.18838388626502,"east","increasing",0.0231936053222204
"Verdin",7460,795.469529861444,16.9248836140733,"northwest","decreasing",0.177881241948845
