"aou","shiftdistance","velocity","direction","abundance","distanceratio"
2890,695.519829899677,14.7982942531846,"southwest","decreasing",0.424310833513285
2930,160.802697594996,3.4213339913829,"northwest","increasing",0.109015067107697
2940,275.934815736656,5.87095352631183,"northeast","increasing",0.112592036367306
3080,193.387291729481,4.11462322828683,"southeast","decreasing",0.0346955618448588
3100,732.379659634672,15.5825459496739,"northeast","increasing",0.11618478056894
3200,375.629141754787,7.99210939903802,"west","decreasing",0.0572735802739157
3210,538.26561007697,11.4524597888717,"east","increasing",0.122098790930809
3260,223.819112422818,4.76210877495358,"northeast","increasing",0.0663540116021463
3750,253.620715460757,5.39618543533526,"southwest","decreasing",0.0312286261463931
3850,90.9778061591518,1.93569800338621,"southeast","increasing",0.0219590248356499
3930,168.079714797183,3.57616414462091,"north","increasing",0.0362384884267088
4050,485.900566103384,10.3383099170933,"northeast","increasing",0.153878515415446
4090,547.735261604751,11.6539417362713,"northeast","increasing",0.373063802932589
4780,150.907820383187,3.21080468900399,"northwest","decreasing",0.046542613315146
4860,368.417225924864,7.8386643813801,"northwest","increasing",0.0983557878187568
4900,268.023002263668,5.70261706943974,"northwest","increasing",0.0787905014023609
5120,703.13331085561,14.9602832096938,"northwest","increasing",0.169873349601054
5300,502.740432982556,10.6966049570757,"","increasing",0.115070599319718
5800,516.389611410698,10.9870130087383,"northwest","decreasing",0.119297258214001
5930,405.044181744095,8.61796131370415,"northeast","increasing",0.303111751966533
5940,317.685890152842,6.75927425857111,"north","increasing",0.0787617900176872
7030,270.095376370927,5.74671013555165,"north","increasing",0.0920784097664785
7070,374.071327973544,7.95896442496903,"north","increasing",0.122365342369165
7180,405.477482076443,8.62718046971154,"northeast","increasing",0.186680972991432
7270,305.281983693436,6.49536135517949,"southeast","increasing",0.125663449772717
7290,169.337436626742,3.60292418354771,"northeast","increasing",0.0763709877712205
7300,300.217134320458,6.38759860256294,"west","decreasing",0.0448291638371851
7310,570.314167289574,12.1343439848846,"northeast","increasing",0.327826294322893
7350,185.42904619003,3.94529885510702,"northeast","increasing",0.0710859773912115
7360,147.42841323835,3.13677474975213,"northeast","increasing",0.118835156166829
7380,206.393033328581,4.39134113465066,"north","decreasing",0.0632059351173474
7410,595.018121669047,12.6599600355116,"northwest","decreasing",0.115476462818605
7430,288.218050413701,6.13229894497237,"","decreasing",0.045885365179268
7460,142.351587307,3.02875717674469,"east","decreasing",0.0404351920404195
