"aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","distance_ratio","dratio_rand_mean","dratio_rand_sd","direction.lat","direction.lon","shiftdir","popchange"
2890,420.954020246754,8.95646851588839,-90.5890766198759,-1.11660889358486,0.00968077677029496,0.179030164178135,-0.0765413576712438,0.000121386081656064,0.604348538819601,0.32159654305605,0.044369034639992,"","west","west","decreasing"
2930,103.516994806749,2.20248925120743,-43.0995834697148,-0.701533831654906,0.00389460387251423,0.691969175415626,-0.00707046435305921,0.686485634909252,0.155623587616052,0.11879244605966,0.0161605929764205,"","","","decreasing"
2940,92.5411849082027,1.96896138102559,29.4898492062706,-0.0300408800899641,0.0175064562176353,0.0398869371505955,0.019004752769917,0.00726068909163192,0.221022325579725,0.147470975606733,0.0213472747419679,"north","east","northeast","decreasing"
3080,369.038209917135,7.85187680674755,87.5193748670788,-0.0225513554605232,-0.00438823936175365,0.825854430191775,0.0769274519121364,0.110385509458895,0.204454620398501,0.179136173060146,0.0196613112084587,"","","","decreasing"
3100,372.318821697851,7.92167705740108,-85.3239091716472,0.535933240245534,-0.00893962565763664,0.725726539843735,-0.127961273279611,0.00108646008930548,0.292084828075333,0.144966294589249,0.0191747685736247,"","west","west","increasing"
3200,419.49129318923,8.92534666360064,-78.1055579683854,-0.266064009712829,0.00993460231615366,0.0705842376123732,-0.0884878051718998,2.2337687732697e-05,0.65288102627629,0.289238372729212,0.0535602476224144,"","west","west","decreasing"
3210,373.91117172339,7.9555568451785,93.3084189164444,-0.53557045662824,0.015849783384504,0.195678675915041,0.0533202301897076,0.129438107599126,0.259985041837297,0.213895890840904,0.0351133123119004,"","","","decreasing"
3260,95.6664700252548,2.03545680904797,-65.6390443376862,0.423283280619702,-0.00623559836267464,0.400459217071063,0.0230742152628041,0.623554729429209,0.0448537820775572,0.0468988169026477,0.00848004495591537,"","","","increasing"
3750,53.5954831482523,1.14032942868622,14.997734094196,-0.0518545466053047,0.00149878611493769,0.904071337061129,-0.0228304494012406,0.449183031639476,0.0369668810856819,0.0395148815299043,0.00586139856697359,"","","","decreasing"
3850,247.718757495646,5.27061186160949,115.854756129412,0.110135868369395,-0.0138758563894819,0.0100097546582607,0.0447378477507649,0.00485165146950595,0.36619416952938,0.269047080881698,0.0397982567438174,"south","east","southeast","increasing"
