"species","aou","shiftdistance","velocity","direction","abundance","distanceratio"
"Northern Bobwhite",2890,420.954020246754,8.95646851588839,"west","decreasing",0.604348538819601
"Scaled Quail",2930,103.516994806749,2.20248925120743,"","decreasing",0.155623587616052
"California Quail",2940,92.5411849082027,1.96896138102559,"northeast","decreasing",0.221022325579725
"Sharp-tailed Grouse",3080,369.038209917135,7.85187680674755,"","decreasing",0.204454620398501
"Wild Turkey",3100,372.318821697851,7.92167705740108,"west","increasing",0.292084828075333
"Common Ground-Dove",3200,419.49129318923,8.92534666360064,"west","decreasing",0.65288102627629
"Inca Dove",3210,373.91117172339,7.9555568451785,"","decreasing",0.259985041837297
"Black Vulture",3260,95.6664700252548,2.03545680904797,"","increasing",0.0448537820775572
"Great Horned Owl",3750,53.5954831482523,1.14032942868622,"","decreasing",0.0369668810856819
"Greater Roadrunner",3850,247.718757495646,5.27061186160949,"southeast","increasing",0.36619416952938
"Hairy Woodpecker",3930,566.91523767306,12.0620263334694,"west","increasing",0.495823009900103
"Downy Woodpecker",3940,63.2655272528566,1.34607504793312,"","increasing",0.069378945450895
"Pileated Woodpecker",4050,120.949963182258,2.57340347196293,"north","increasing",0.192811674248459
"Red-bellied Woodpecker",4090,142.255587968161,3.02671463762044,"north","increasing",0.426279751434643
"Steller's Jay",4780,86.5830378352434,1.84219229436688,"","decreasing",0.0932327963291167
"Common Raven",4860,449.545708482162,9.56480230813111,"northwest","increasing",0.236119342263091
"Fish Crow",4900,288.553338244485,6.13943272860606,"north","decreasing",0.344034447436418
"Great-tailed Grackle",5120,457.211940376395,9.72791362502968,"northwest","decreasing",0.707985400532196
"Lesser Goldfinch",5300,120.995294306671,2.57436796397173,"east","increasing",0.108821768259438
"Rufous-crowned Sparrow",5800,160.172797233127,3.40793185602397,"northwest","decreasing",0.141718183579525
"Northern Cardinal",5930,78.3085789293694,1.66613997722062,"north","increasing",0.307400567439585
"Pyrrhuloxia",5940,168.128063101675,3.57719283195054,"northwest","decreasing",0.346332158686532
"Northern Mockingbird",7030,77.9286352257383,1.65805606863273,"northwest","decreasing",0.237795261076715
"Curve-billed Thrasher",7070,268.9162576857,5.72162250395106,"","decreasing",0.228066113240356
"Carolina Wren",7180,115.831612754599,2.46450239903401,"north","increasing",0.254617408834427
"White-breasted Nuthatch",7270,203.788084557651,4.33591669271599,"","increasing",0.341596642445128
"Brown-headed Nuthatch",7290,230.187811344488,4.89761300732953,"north","increasing",0.512422008553873
"Pygmy Nuthatch",7300,229.732765630486,4.88793118362736,"east","decreasing",0.300008099319901
"Tufted Titmouse",7310,108.169914345029,2.30148753925593,"","increasing",0.146232224882076
"Black-capped Chickadee",7350,324.326033101972,6.90055389578663,"east","increasing",0.326319996182681
"Carolina Chickadee",7360,87.8412794988992,1.8689633935936,"","increasing",0.127231453142362
"Mountain Chickadee",7380,146.737390261893,3.12207213323177,"","decreasing",0.133656449909881
"Chestnut-backed Chickadee",7410,354.910275397919,7.55128245527487,"","decreasing",0.223769705486122
"Bushtit",7430,157.140306423499,3.34341077496807,"","decreasing",0.100091229108646
"Verdin",7460,134.015246664014,2.85138822689392,"","increasing",0.280026467450143
