"aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","distance_ratio","dratio_rand_mean","dratio_rand_sd","direction.lat","direction.lon","shiftdir","popchange"
2890,486.494649816262,10.3509499960907,-92.1742111680151,-1.18291002598972,-0.00139743706950037,0.763228198619639,-0.111921242339674,7.55534503899199e-06,0.709661315311009,0.285199480656264,0.052582463582986,"","west","west","decreasing"
2930,200.587231555876,4.26781343735906,-31.7259661226089,-0.507665462739884,0.0177326352592671,0.0879396172118654,-0.0190726286965426,0.0920969323424791,0.412584987707167,0.283347135256664,0.0361575190183978,"","","","decreasing"
2940,251.852532537586,5.3585645220763,6.39507807658503,-0.0910237042095056,0.0723982016321341,0.000380755511989647,0.0113767282974617,0.00198194435155508,0.513701743499624,0.181405069887076,0.0396029930820165,"north","east","northeast","decreasing"
3080,150.645656881771,3.20522674216535,101.56648675172,0.121526665396925,-0.00328263732028819,0.629282694641522,0.0294770697906555,0.145957146011799,0.215022003313204,0.193414661739085,0.0229250118494394,"","","","increasing"
3100,615.261815990632,13.0906769359709,3.32161375270719,0.145261354053478,0.100077680690621,0.000671989422903995,0.000449822742264669,0.981125605874798,0.541159957943331,0.291097327997896,0.0386546277384736,"north","","north","increasing"
3200,288.502273957045,6.13834625440522,-73.8125957866027,-0.565982262684492,0.012286874755032,0.00107312406082579,-0.068501856737925,0.046918666046368,0.264723925696496,0.173598780883684,0.0344906767087453,"north","west","northwest","decreasing"
3210,239.824360321867,5.10264596429505,64.512941407393,-0.325612693878971,0.0288351688448885,0.00374712181738028,0.034135411952518,0.0988555619946848,0.300364236508673,0.198367143569523,0.0247122206209891,"north","","north","decreasing"
3260,126.203828402643,2.68518783835411,20.4691935749666,0.494159841067936,0.00995589074812084,0.155952387276287,-0.00105255113536574,0.920149141064288,0.20052486057173,0.204369160522151,0.0237121468057502,"","","","increasing"
3750,345.281424631236,7.3464132900263,-78.457045898817,-0.0971031740185721,-0.00124849387518039,0.908673451522622,-0.0781818933648149,0.00748930317029911,0.351893555190521,0.22529643229,0.031033868703675,"","west","west","decreasing"
3850,53.1538423368132,1.13093281567688,-46.0865295426206,0.0890860187568224,-0.00410436851286502,0.417710649813408,0.0348974930764399,0.203123625811886,0.0598530116279495,0.0457856726028246,0.00764683281174943,"","","","increasing"
