"species","aou","shiftdistance","velocity","direction","abundance","distanceratio"
"Northern Bobwhite",2890,408.547202875965,8.69249367821201,"northwest","decreasing",0.634501968834009
"Scaled Quail",2930,211.750779439849,4.50533573276275,"north","increasing",0.572919733199089
"California Quail",2940,269.525780391111,5.7345910721513,"northeast","increasing",0.590391205248999
"Sharp-tailed Grouse",3080,320.078745870336,6.81018608234758,"southeast","increasing",0.339701913457963
"Wild Turkey",3100,755.958726350219,16.0842282202174,"north","increasing",0.639891389785756
"Common Ground-Dove",3200,341.644674343195,7.2690356243233,"north","increasing",0.28544510446947
"Inca Dove",3210,200.027676635896,4.2559080135297,"","increasing",0.218891656245119
"Black Vulture",3260,78.0688686881021,1.66103975932132,"","increasing",0.110462340857411
"Great Horned Owl",3750,817.578346898032,17.3952839765539,"northwest","increasing",0.284827813510147
"Greater Roadrunner",3850,80.9750724274755,1.72287388143565,"","increasing",0.109631222164516
"Hairy Woodpecker",3930,1164.4969631943,24.7765311317937,"northwest","increasing",0.55657057792685
"Downy Woodpecker",3940,298.068236927879,6.34187738144424,"","increasing",0.234051487041924
"Pileated Woodpecker",4050,430.459805506431,9.15871926609428,"north","increasing",0.392583139257846
"Red-bellied Woodpecker",4090,131.297577278111,2.79356547400236,"north","increasing",0.396845028835387
"Steller's Jay",4780,460.020792097564,9.78767642760775,"northwest","increasing",0.310393524684103
"Common Raven",4860,922.778963065997,19.633594958851,"northwest","increasing",0.348181986749713
"Fish Crow",4900,239.560655846156,5.09703523076928,"northwest","increasing",0.490718088050833
"Great-tailed Grackle",5120,514.973530856209,10.9568836352385,"northwest","decreasing",0.735473006902397
"Lesser Goldfinch",5300,203.711095048705,4.33427861805755,"east","increasing",0.241889303989749
"Rufous-crowned Sparrow",5800,264.919668861868,5.63658869918868,"","increasing",0.240921765401697
"Northern Cardinal",5930,40.7269870824243,0.86653164005158,"","increasing",0.130133466415674
"Pyrrhuloxia",5940,291.651293895019,6.20534667861742,"northwest","decreasing",0.59834470437502
"Northern Mockingbird",7030,96.4660412742655,2.05246896328224,"north","increasing",0.169107207511953
"Curve-billed Thrasher",7070,585.362476920641,12.4545207855456,"northwest","increasing",0.41781479605771
"Carolina Wren",7180,63.7028344117926,1.35537945557006,"","increasing",0.125035835051803
"White-breasted Nuthatch",7270,53.0574376034855,1.12888165113799,"","increasing",0.0656410850691137
"Brown-headed Nuthatch",7290,174.427905737321,3.71123203696428,"northeast","increasing",0.589770800932264
"Pygmy Nuthatch",7300,481.355906283072,10.2416150272994,"east","increasing",0.428679511693112
"Tufted Titmouse",7310,83.589942878864,1.77850942295455,"","increasing",0.269985419972277
"Black-capped Chickadee",7350,308.024829589262,6.55371977849494,"north","increasing",0.210023844998256
"Carolina Chickadee",7360,81.2594473177983,1.72892441101699,"","increasing",0.155058089347699
"Mountain Chickadee",7380,292.763171034121,6.22900363902385,"north","increasing",0.37416145259061
"Chestnut-backed Chickadee",7410,1102.34856980336,23.4542248894332,"northwest","increasing",0.602241701748856
"Bushtit",7430,179.853237885368,3.82666463585889,"east","increasing",0.168377835742572
"Verdin",7460,465.958569764771,9.9140121226547,"","increasing",0.363875526554643
