"aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","distance_ratio","dratio_rand_mean","dratio_rand_sd","direction.lat","direction.lon","shiftdir","popchange"
2890,587.920025740943,12.5089367178924,-80.7455709569213,-1.95473572270981,0.0202098618966558,0.021502647844284,-0.107582225115057,0.000419999036604618,0.714494966148481,0.328004687941005,0.0438278540564718,"north","west","northwest","decreasing"
2930,37.4184263267973,0.796136730357389,54.4592475226793,-1.6109632566479,0.000121060159770108,0.990051534084683,0.00806868111567341,0.309868408689038,0.0693281247708675,0.0618972675891752,0.0090731847365779,"","","","decreasing"
2940,108.88822310987,2.31677070446532,39.6016330764724,-0.132140252727215,-0.022902673661856,0.295484957139154,0.0454830186243923,0.00928982617468142,0.0880766439810193,0.0813901046889405,0.0115853752175385,"","east","east","decreasing"
3080,344.154554277462,7.32243732505238,122.312507990215,-0.61584261242073,-0.0346175969314599,0.0443757238743853,0.0767758528552601,0.0296297066096514,0.241818096906821,0.195415016386177,0.0241051781811181,"south","east","southeast","decreasing"
3100,528.725139431489,11.2494710517338,12.5963833063501,0.230809771196045,0.107863675575585,0.00195380179827194,0.0446420621175016,0.19015372914259,0.363404041058006,0.193708955637278,0.0279253194518598,"north","","north","increasing"
3200,169.090230230928,3.59766447299848,-119.831843694707,-0.853083667456285,-0.00535475884270764,0.454467713480079,-0.023742309151751,0.363254245395153,0.156424431453165,0.138302718291866,0.0267203836122899,"","","","decreasing"
3210,1147.44629043585,24.4137508603372,101.347380626105,-1.53999396762963,-0.0345124542235176,0.0796913648103483,0.22404217611174,0.00206968462417208,0.635402516925501,0.31015236979713,0.0547450468288573,"","east","east","decreasing"
3260,210.484570509839,4.47839511723061,26.9049922660686,-0.39891570319999,0.0467555663014655,0.00169742476545885,0.0685910594824923,0.0289689083165236,0.181390831090769,0.118200045373703,0.0196484171155449,"north","east","northeast","decreasing"
3750,462.678324550577,9.84421967128888,143.861473331505,-0.919304526356209,-0.0866039410272207,0.148480494035663,0.112302462197803,0.0985782071144968,0.131389514852346,0.116004291321828,0.0200824079790364,"","","","decreasing"
3850,664.962380977268,14.1481357654738,97.9987287303563,-0.812031165330976,-0.0191422041057389,0.0174470660018379,0.117516642901313,0.00284426813648058,0.537352942846526,0.327827081957949,0.0546133030579703,"south","east","southeast","decreasing"
3930,489.64743642001,10.4180305621279,85.3747732019257,-0.382847533538862,-0.00258323868574816,0.903615290601415,0.134862451244655,0.00601895136528519,0.227922417465352,0.189757511645541,0.0295356278656041,"","east","east","decreasing"
3940,314.027997676895,6.68144675908287,66.3960393494024,-0.0844971303416522,0.0303775880508784,0.0035931052348124,0.115068525626684,0.000769580009535975,0.356172268891796,0.164654075707295,0.0334734832884037,"north","east","northeast","decreasing"
4050,442.88553916146,9.42309657790341,74.6330789063853,-0.179743309726061,0.029939565235884,0.0247789438684718,0.0897263482592807,0.000103732669436362,0.42868328122506,0.269375685434901,0.0348769822000259,"north","east","northeast","decreasing"
4090,231.037349294988,4.91568828287209,36.7399565943174,-0.0454772569844805,0.0449998508473681,4.95268365694062e-05,0.0448496898048734,0.00896287731926719,0.389561929458615,0.192218393792547,0.0339254452414589,"north","east","northeast","decreasing"
4780,320.059209301746,6.80977041067545,-46.0248284332337,-1.09498100776102,-0.0137676243648614,0.67655094036999,-0.0308877939262803,0.14510057319971,0.196011969468171,0.180530516182958,0.0215048501538383,"","","","decreasing"
4860,269.3928334806,5.73176241448085,57.6710095605503,-0.421421897913504,0.0276363847319359,0.579818737125483,0.0478602491145058,0.396240691829925,0.0968071673128596,0.0805237475346329,0.00971664506727262,"","","","decreasing"
4900,334.122202048582,7.10898302231025,25.6347293663219,-0.714855034844254,0.0630571595202091,0.000208711222693683,0.0351620579407064,0.106963607910466,0.277774836657771,0.208832210552132,0.0273150883496886,"north","","north","decreasing"
5120,614.836051355543,13.0816181139477,-44.8339126538115,-0.953371675408378,0.0647012641005203,0.0025099952496824,-0.110258619452633,1.15546913463059e-05,0.543330718655585,0.269914049871163,0.0418689192260558,"north","west","northwest","decreasing"
5300,50.5853768496432,1.0762846138222,71.6010515145974,-0.640923455376084,0.00803705509791402,0.319024907007786,-0.0304358324853747,0.16450353444213,0.0677138761939603,0.0496024988841641,0.00947155162576128,"","","","decreasing"
5800,143.212703388566,3.04707879550141,-76.7231540688522,-0.837995253312972,0.0012692721390378,0.791692383766569,0.00964035480770602,0.679671176650502,0.210968818059444,0.143077060020883,0.0216070239483528,"","","","decreasing"
5930,204.182396273513,4.34430630369177,34.2782358508838,-0.297090129970533,0.0446072462960407,2.17053115291693e-05,0.0528618939022234,0.00272602758763486,0.425006694012794,0.166663311731541,0.03152387126564,"north","east","northeast","decreasing"
5940,60.1703105621076,1.28021937366186,-9.80708041356408,-1.22890501034343,0.0256981581662651,0.0209895865052459,-0.0104644707545709,0.220401812377448,0.139265429039999,0.0796202539307517,0.014425384658794,"north","","north","decreasing"
7030,140.150968324737,2.981935496271,70.8071820572376,-0.776604709917664,0.0128413614092226,0.00281758249404674,0.0348980253619891,0.0633975098061813,0.208785185310974,0.159474765276556,0.0273332603604735,"north","","north","decreasing"
7070,246.041317499706,5.23492164892991,86.9992945717709,-1.58958061590343,-0.00672158062386456,0.487739061209761,0.0753649267765861,0.0802272117515221,0.222714728409993,0.124577393159611,0.0255237557048132,"","","","decreasing"
7180,224.551199682328,4.777685099624,44.8901885814028,-0.0552781823845154,0.046575159968456,0.0018541612280063,0.0509138728417397,0.00217792559309616,0.317967766983729,0.172903536728392,0.0310463736998037,"north","east","northeast","decreasing"
7270,1448.30473196067,30.8149942970356,94.6860376522112,0.225581085204006,-0.0470395842589933,0.0605713135387354,0.374886771822406,0.000289618582968415,0.674052401894971,0.270746716369492,0.0539618961631909,"","east","east","increasing"
7290,401.631331665618,8.54534748224719,55.8173714212466,-1.57649736076902,0.0340881632381686,0.0127778919118393,0.0566817248770336,0.0225680134112178,0.53493721550147,0.314607221431483,0.0513567486895942,"north","east","northeast","decreasing"
7300,158.582934054486,3.37410497988269,-100.726614819323,-1.62851245402283,-0.0155106494725229,0.740772214638226,-0.0259326718445829,0.249170649716178,0.0626132078731207,0.0679544765972438,0.00916017511193087,"","","","decreasing"
7310,349.185934143124,7.42948796049201,55.7521328080979,0.38876133512467,0.0640386291790033,0.000234977962876422,0.124546882478139,0.000192549625798191,0.402283512446313,0.151765463098612,0.0319831731028641,"north","east","northeast","increasing"
7350,1535.96274736794,32.6800584546369,93.119191745055,-0.317254761161928,-0.0413689432719461,0.0726737890394467,0.387681572258455,0.00255255351205495,0.382969196662936,0.27285539816972,0.0575019205341492,"","east","east","decreasing"
7360,103.015608753671,2.19182146284407,26.1739975743423,-0.206659400233562,0.0231043118948959,0.0125212799002457,0.0182439716308159,0.135422711630842,0.174054375423292,0.127538937606383,0.0187113528582562,"north","","north","decreasing"
7380,222.983306230646,4.74432566448184,-179.727472408114,-1.2772371131849,-0.0647248247225114,0.0367966150367182,0.00886614597951659,0.690253413518678,0.165552892310117,0.120490151399827,0.0176221379106106,"south","","south","decreasing"
7410,24.5576324567432,0.522502818228578,57.531119250086,-0.775353671787167,-0.0264862924154909,0.284662498732692,0.0239288861109161,0.379689497586607,0.015434651984415,0.0166088659571584,0.00296700870459927,"","","","decreasing"
