"","species","aou","shiftdistance","velocity","direction","abundance","distanceratio","analysis","sppnumber"
"1","Northern Bobwhite",2890,486.494649816262,10.3509499960907,"west","decreasing",0.709661315311009,"By route",1
"2","Scaled Quail",2930,200.587231555876,4.26781343735906,NA,"decreasing",0.412584987707167,"By route",2
"3","California Quail",2940,251.852532537586,5.3585645220763,"northeast","decreasing",0.513701743499624,"By route",3
"4","Sharp-tailed Grouse",3080,150.645656881771,3.20522674216535,NA,"increasing",0.215022003313204,"By route",4
"5","Wild Turkey",3100,615.261815990632,13.0906769359709,"north","increasing",0.541159957943331,"By route",5
"6","Common Ground-Dove",3200,288.502273957045,6.13834625440522,"northwest","decreasing",0.264723925696496,"By route",6
"7","Inca Dove",3210,239.824360321867,5.10264596429505,"north","decreasing",0.300364236508673,"By route",7
"8","Black Vulture",3260,126.203828402643,2.68518783835411,NA,"increasing",0.20052486057173,"By route",8
"9","Great Horned Owl",3750,345.281424631236,7.3464132900263,"west","decreasing",0.351893555190521,"By route",9
"10","Greater Roadrunner",3850,53.1538423368132,1.13093281567688,NA,"increasing",0.0598530116279495,"By route",10
"11","Hairy Woodpecker",3930,517.005904114039,11.0001256194476,"northwest","increasing",0.561163762658999,"By route",11
"12","Downy Woodpecker",3940,59.630041875628,1.26872429522613,NA,"increasing",0.175117642363181,"By route",12
"13","Pileated Woodpecker",4050,268.998033498841,5.72336241486897,"north","increasing",0.374005982232486,"By route",13
"14","Red-bellied Woodpecker",4090,133.144490935397,2.83286150926376,"north","increasing",0.414222474146817,"By route",14
"15","Steller's Jay",4780,233.436481714863,4.96673365350771,"north","decreasing",0.543017002612862,"By route",15
"16","Common Raven",4860,702.899213035696,14.9553024050148,"northwest","increasing",0.536428815074054,"By route",17
"17","Fish Crow",4900,213.446574040024,4.54141646893667,"north","decreasing",0.51861559553307,"By route",18
"18","Great-tailed Grackle",5120,510.996785385754,10.8722720294841,"northwest","decreasing",0.739915106207236,"By route",19
"19","Lesser Goldfinch",5300,193.444562121052,4.11584174725643,"east","decreasing",0.25715777141048,"By route",20
"20","Rufous-crowned Sparrow",5800,212.874440621954,4.52924341748839,NA,"increasing",0.165125225784571,"By route",21
"21","Northern Cardinal",5930,30.0672595121797,0.639728925791057,NA,"increasing",0.0986336142602915,"By route",22
"22","Pyrrhuloxia",5940,260.801732733334,5.54897303687945,"northwest","decreasing",0.593011257505169,"By route",23
"23","Northern Mockingbird",7030,89.5190942054699,1.90466157883979,NA,"decreasing",0.145260068452227,"By route",24
"24","Curve-billed Thrasher",7070,613.375831888476,13.0505496146484,"northwest","decreasing",0.442591315512187,"By route",25
"25","Carolina Wren",7180,92.4886503665793,1.96784362482084,NA,"increasing",0.16772682559769,"By route",26
"26","White-breasted Nuthatch",7270,88.1626088127163,1.8758001875046,"south","increasing",0.113972159634736,"By route",27
"27","Brown-headed Nuthatch",7290,192.672194250028,4.09940838829846,"northeast","decreasing",0.597449137289938,"By route",28
"28","Pygmy Nuthatch",7300,389.619248078776,8.28977123571864,"east","decreasing",0.421893279780218,"By route",29
"29","Tufted Titmouse",7310,90.7214794932442,1.93024424453711,NA,"increasing",0.293431585793139,"By route",30
"30","Black-capped Chickadee",7350,152.292327891987,3.24026229557419,"north","increasing",0.231308801335674,"By route",31
"31","Carolina Chickadee",7360,89.3347127328598,1.90073856878425,NA,"increasing",0.16237789551096,"By route",32
"32","Mountain Chickadee",7380,254.698403041972,5.41911495833984,"northeast","decreasing",0.441140813900654,"By route",33
"33","Chestnut-backed Chickadee",7410,548.909815431194,11.6789322432169,"northwest","decreasing",0.544881469459693,"By route",34
"34","Bushtit",7430,173.107943488286,3.68314773379332,"east","decreasing",0.266849968775321,"By route",35
"35","Verdin",7460,491.587877271904,10.4593165377001,NA,"increasing",0.387741725088904,"By route",36
"36","Northern Bobwhite",2890,417.692290535276,8.88707001138885,"northwest","decreasing",0.777612426519024,"By grid",1
"37","Scaled Quail",2930,131.7051791661,2.80223785459787,"west","decreasing",0.355968562521144,"By grid",2
"38","California Quail",2940,218.111128038665,4.64066229869499,"northeast","increasing",0.509679058642989,"By grid",3
"39","Sharp-tailed Grouse",3080,281.842868875701,5.99665678458939,"east","increasing",0.396883147476034,"By grid",4
"40","Wild Turkey",3100,646.190632146505,13.7487368541809,"northwest","increasing",0.627005930155794,"By grid",5
"41","Common Ground-Dove",3200,253.819098928685,5.4004063601848,"northwest","decreasing",0.302276231422431,"By grid",6
"42","Inca Dove",3210,309.875861653639,6.59310343943913,"northeast","decreasing",0.521474315850623,"By grid",7
"43","Black Vulture",3260,123.746260840802,2.63289916682557,"north","increasing",0.234278003367458,"By grid",8
"44","Great Horned Owl",3750,112.356622681377,2.3905664400293,"south","decreasing",0.149599201783617,"By grid",9
"45","Greater Roadrunner",3850,94.5131852095517,2.01091883424578,NA,"increasing",0.0971095825687825,"By grid",10
"46","Hairy Woodpecker",3930,178.808556626775,3.80443737503777,"northwest","increasing",0.278845398440865,"By grid",11
"47","Downy Woodpecker",3940,31.5670372666044,0.671639090778817,NA,"increasing",0.100389845133972,"By grid",12
"48","Pileated Woodpecker",4050,215.050367560858,4.5755397353374,"north","increasing",0.488425877391888,"By grid",13
"49","Red-bellied Woodpecker",4090,167.385664983608,3.56139712731082,"north","increasing",0.634209232072389,"By grid",14
"50","Steller's Jay",4780,82.8567181248778,1.762908896274,NA,"decreasing",0.227417200485436,"By grid",15
"51","Common Raven",4860,649.854644524695,13.8266945643552,"southwest","increasing",0.711199724881044,"By grid",17
"52","Fish Crow",4900,274.732130792388,5.84536448494442,"north","decreasing",0.625334972164523,"By grid",18
"53","Great-tailed Grackle",5120,477.925781243978,10.1686336434889,"northwest","decreasing",0.874758698082068,"By grid",19
"54","Lesser Goldfinch",5300,294.079395440918,6.25700841363655,"east","decreasing",0.407433914923058,"By grid",20
"55","Rufous-crowned Sparrow",5800,428.574188228414,9.11859974954073,"northwest","decreasing",0.332643511980704,"By grid",21
"56","Northern Cardinal",5930,96.9236728815665,2.06220580599078,"northwest","increasing",0.481885471022931,"By grid",22
"57","Pyrrhuloxia",5940,117.679388771502,2.50381678237238,"northwest","decreasing",0.344095209062687,"By grid",23
"58","Northern Mockingbird",7030,65.1067507974357,1.38525001696672,"north","decreasing",0.197654403672162,"By grid",24
"59","Curve-billed Thrasher",7070,272.282784471749,5.79325073344146,"north","decreasing",0.417736638864967,"By grid",25
"60","Carolina Wren",7180,101.317847127339,2.15569887504977,"north","increasing",0.242452833833709,"By grid",26
"61","White-breasted Nuthatch",7270,183.910777282823,3.91299526133666,NA,"increasing",0.236186765158537,"By grid",27
"62","Brown-headed Nuthatch",7290,100.062449432192,2.12898828579132,"northeast","decreasing",0.43569459832638,"By grid",28
"63","Pygmy Nuthatch",7300,246.593257678804,5.24666505699583,"east","decreasing",0.196088720544005,"By grid",29
"64","Tufted Titmouse",7310,106.102195596328,2.25749352332612,"east","increasing",0.366677884501145,"By grid",30
"65","Black-capped Chickadee",7350,327.34404090501,6.96476682776616,"east","increasing",0.720095965374888,"By grid",31
"66","Carolina Chickadee",7360,80.1180879745805,1.70464016967193,NA,"increasing",0.200305779384531,"By grid",32
"67","Mountain Chickadee",7380,133.317174185837,2.83653562097525,"east","decreasing",0.292939777276984,"By grid",33
"68","Chestnut-backed Chickadee",7410,167.189939604611,3.55723275754492,"east","decreasing",0.395565329231218,"By grid",34
"69","Bushtit",7430,149.585206527385,3.18266396866777,"east","decreasing",0.188197192432963,"By grid",35
"70","Verdin",7460,131.205111941612,2.79159812641727,NA,"decreasing",0.187568773792073,"By grid",36
"71","Northern Bobwhite",2890,523.646348053892,11.1414116607211,"west","decreasing",0.805908678613684,"By strata",1
"72","Scaled Quail",2930,139.659423334499,2.97147709222338,"north","decreasing",0.418515457567349,"By strata",2
"73","California Quail",2940,199.544756993938,4.2456331275306,"east","increasing",0.258427243911881,"By strata",3
"74","Sharp-tailed Grouse",3080,327.312704586545,6.96410009758606,"east","increasing",0.362812837133525,"By strata",4
"75","Wild Turkey",3100,556.811705456854,11.8470575629118,"north","increasing",0.378801633062401,"By strata",5
"76","Common Ground-Dove",3200,375.999063140587,7.99998006682099,"west","decreasing",0.359261448706668,"By strata",6
"77","Inca Dove",3210,525.715664325093,11.1854396664913,"east","decreasing",0.367681929379928,"By strata",7
"78","Black Vulture",3260,103.131651671379,2.19429046109317,NA,"increasing",0.121437308694132,"By strata",8
"79","Great Horned Owl",3750,95.2983536120856,2.02762454493799,"south","decreasing",0.106367246262777,"By strata",9
"80","Greater Roadrunner",3850,209.050778766841,4.44788890993279,"east","increasing",0.308864174596853,"By strata",10
"81","Hairy Woodpecker",3930,201.62556850652,4.28990571290469,"north","increasing",0.343727264241568,"By strata",11
