"species","aou","shiftdistance","velocity","direction","abundance","distanceratio"
"Northern Bobwhite",2890,417.692290535276,8.88707001138885,"northwest","decreasing",0.777612426519024
"Scaled Quail",2930,131.7051791661,2.80223785459787,"west","decreasing",0.355968562521144
"California Quail",2940,218.111128038665,4.64066229869499,"northeast","increasing",0.509679058642989
"Gambel's Quail",2950,175.916945075333,3.74291372500709,"east","increasing",0.325788554764376
"Ruffed Grouse",3000,348.081535135432,7.40599010926452,"northwest","decreasing",0.393922140523462
"Sharp-tailed Grouse",3080,281.842868875701,5.99665678458939,"east","increasing",0.396883147476034
"Wild Turkey",3100,646.190632146505,13.7487368541809,"northwest","increasing",0.627005930155794
"Common Ground-Dove",3200,253.819098928685,5.4004063601848,"northwest","decreasing",0.302276231422431
"Inca Dove",3210,309.875861653639,6.59310343943913,"northeast","decreasing",0.521474315850623
"Black Vulture",3260,123.746260840802,2.63289916682557,"north","increasing",0.234278003367458
"Barred Owl",3680,142.94489112633,3.04138066226234,"","increasing",0.164933354249826
"Eastern Screech-Owl",3730,212.794825979961,4.52754948893534,"","decreasing",0.212213294534731
"Great Horned Owl",3750,112.356622681377,2.3905664400293,"south","decreasing",0.149599201783617
"Northern Pygmy-Owl",3790,217.531001572362,4.62831918239068,"north","decreasing",0.171251020869207
"Greater Roadrunner",3850,94.5131852095517,2.01091883424578,"","increasing",0.0971095825687825
"Hairy Woodpecker",3930,178.808556626775,3.80443737503777,"northwest","increasing",0.278845398440865
"Downy Woodpecker",3940,31.5670372666044,0.671639090778817,"","increasing",0.100389845133972
"Ladder-backed Woodpecker",3960,45.6378719613128,0.971018552368358,"","increasing",0.0700374324286521
"Black-backed Woodpecker",4000,372.031538206366,7.91556464268863,"","decreasing",0.128390172578273
"American Three-toed Woodpecker",4010,1181.40146215686,25.1362013224864,"south","increasing",0.193765292929871
"Pileated Woodpecker",4050,215.050367560858,4.5755397353374,"north","increasing",0.488425877391888
"Red-bellied Woodpecker",4090,167.385664983608,3.56139712731082,"north","increasing",0.634209232072389
"Black Phoebe",4580,130.52579371693,2.77714454716873,"east","increasing",0.247872731942183
"Black-billed Magpie",4750,153.143462282943,3.25837153793496,"north","decreasing",0.342967856265316
"Steller's Jay",4780,82.8567181248778,1.762908896274,"","decreasing",0.227417200485436
"Gray Jay",4840,831.248821395191,17.6861451360679,"southwest","decreasing",0.502777375346323
"Common Raven",4860,649.854644524695,13.8266945643552,"southwest","increasing",0.711199724881044
"Chihuahuan Raven",4870,370.896616616248,7.8914173748138,"north","decreasing",0.39185290835464
"Fish Crow",4900,274.732130792388,5.84536448494442,"north","decreasing",0.625334972164523
"Clark's Nutcracker",4910,326.513456191309,6.94709481258104,"east","increasing",0.38276394771333
"Pinyon Jay",4920,331.257948054146,7.04804144796055,"","decreasing",0.276643590073656
"Great-tailed Grackle",5120,477.925781243978,10.1686336434889,"northwest","decreasing",0.874758698082068
"Boat-tailed Grackle",5130,224.060882554688,4.76725282031251,"north","decreasing",0.295841526340746
"Lesser Goldfinch",5300,294.079395440918,6.25700841363655,"east","decreasing",0.407433914923058
"Rufous-crowned Sparrow",5800,428.574188228414,9.11859974954073,"northwest","decreasing",0.332643511980704
"Canyon Towhee",5910,96.1287392684658,2.04529232486097,"north","decreasing",0.144817137061376
"Northern Cardinal",5930,96.9236728815665,2.06220580599078,"northwest","increasing",0.481885471022931
"Pyrrhuloxia",5940,117.679388771502,2.50381678237238,"northwest","decreasing",0.344095209062687
"American Dipper",7010,294.813087903027,6.27261889155376,"","decreasing",0.313239409789614
"Northern Mockingbird",7030,65.1067507974357,1.38525001696672,"north","decreasing",0.197654403672162
"Curve-billed Thrasher",7070,272.282784471749,5.79325073344146,"north","decreasing",0.417736638864967
"Cactus Wren",7130,249.121148316183,5.30044996417412,"northwest","decreasing",0.281405372910624
"Canyon Wren",7170,304.74159537765,6.48386373143935,"","increasing",0.196107073962973
"Carolina Wren",7180,101.317847127339,2.15569887504977,"north","increasing",0.242452833833709
"Bewick's Wren",7190,294.82228448386,6.27281456348638,"","increasing",0.270032864428887
"White-breasted Nuthatch",7270,183.910777282823,3.91299526133666,"","increasing",0.236186765158537
"Brown-headed Nuthatch",7290,100.062449432192,2.12898828579132,"northeast","decreasing",0.43569459832638
"Pygmy Nuthatch",7300,246.593257678804,5.24666505699583,"east","decreasing",0.196088720544005
"Tufted Titmouse",7310,106.102195596328,2.25749352332612,"east","increasing",0.366677884501145
"Black-capped Chickadee",7350,327.34404090501,6.96476682776616,"east","increasing",0.720095965374888
"Carolina Chickadee",7360,80.1180879745805,1.70464016967193,"","increasing",0.200305779384531
"Mountain Chickadee",7380,133.317174185837,2.83653562097525,"east","decreasing",0.292939777276984
"Boreal Chickadee",7400,904.520582959789,19.2451187863785,"northwest","decreasing",0.401470771389577
"Chestnut-backed Chickadee",7410,167.189939604611,3.55723275754492,"east","decreasing",0.395565329231218
"Bushtit",7430,149.585206527385,3.18266396866777,"east","decreasing",0.188197192432963
"Verdin",7460,131.205111941612,2.79159812641727,"","decreasing",0.187568773792073
