"species","aou","shiftdistance","velocity","direction","abundance","distanceratio"
"Northern Bobwhite",2890,523.646348053892,11.1414116607211,"west","decreasing",0.805908678613684
"Scaled Quail",2930,139.659423334499,2.97147709222338,"north","decreasing",0.418515457567349
"California Quail",2940,199.544756993938,4.2456331275306,"east","increasing",0.258427243911881
"Gambel's Quail",2950,236.151414816481,5.0244981875847,"east","increasing",0.401176918793235
"Ruffed Grouse",3000,262.306013941843,5.58097902003921,"north","decreasing",0.207523746672222
"Sharp-tailed Grouse",3080,327.312704586545,6.96410009758606,"east","increasing",0.362812837133525
"Wild Turkey",3100,556.811705456854,11.8470575629118,"north","increasing",0.378801633062401
"Common Ground-Dove",3200,375.999063140587,7.99998006682099,"west","decreasing",0.359261448706668
"Inca Dove",3210,525.715664325093,11.1854396664913,"east","decreasing",0.367681929379928
"Black Vulture",3260,103.131651671379,2.19429046109317,"","increasing",0.121437308694132
"Barred Owl",3680,130.401179186294,2.77449317417647,"northwest","increasing",0.193374608146075
"Eastern Screech-Owl",3730,140.962183404411,2.99919539158322,"","decreasing",0.139369834311462
"Great Horned Owl",3750,95.2983536120856,2.02762454493799,"south","decreasing",0.106367246262777
"Northern Pygmy-Owl",3790,474.329360050068,10.0921140436185,"north","decreasing",0.366723377147454
"Greater Roadrunner",3850,209.050778766841,4.44788890993279,"east","increasing",0.308864174596853
"Hairy Woodpecker",3930,201.62556850652,4.28990571290469,"north","increasing",0.343727264241568
"Downy Woodpecker",3940,76.0093208204837,1.61721959192519,"","increasing",0.159038334146328
"Ladder-backed Woodpecker",3960,138.622724620395,2.94941967277437,"","increasing",0.157506898710987
"Black-backed Woodpecker",4000,426.484105299534,9.07412989999009,"north","decreasing",0.0808165521975069
"American Three-toed Woodpecker",4010,566.084606488594,12.0443533295446,"","increasing",0.0859229360021171
"Pileated Woodpecker",4050,177.449578910563,3.7755229555439,"north","increasing",0.406376679246068
"Red-bellied Woodpecker",4090,140.611388484979,2.99173166989316,"northeast","increasing",0.592565098924452
"Black Phoebe",4580,134.683847735456,2.86561378160544,"","increasing",0.116820062728246
"Black-billed Magpie",4750,229.370288359705,4.88021890127032,"northwest","decreasing",0.243684493815664
"Steller's Jay",4780,125.550887932845,2.67129548793288,"","decreasing",0.169392914240438
"Gray Jay",4840,688.659185118135,14.6523230876199,"north","increasing",0.271702108528055
"Common Raven",4860,272.792828352385,5.80410273090182,"west","increasing",0.229187691148002
"Chihuahuan Raven",4870,167.631755281834,3.56663309110285,"north","decreasing",0.3299135081982
"Fish Crow",4900,204.278830405084,4.34635809372519,"north","decreasing",0.32362113941231
"Clark's Nutcracker",4910,154.424516259363,3.28562800551836,"north","decreasing",0.239735554160104
"Pinyon Jay",4920,301.894094551189,6.42327860747211,"","decreasing",0.368305644033112
"Great-tailed Grackle",5120,528.970081539974,11.2546825859569,"northwest","decreasing",0.535890889886345
"Boat-tailed Grackle",5130,137.797974222708,2.93187179197251,"","decreasing",0.0982143805297761
"Lesser Goldfinch",5300,130.207026096016,2.77036225736203,"","decreasing",0.177645267524076
"Rufous-crowned Sparrow",5800,152.961971787174,3.25451003802498,"","decreasing",0.212895442017486
"Canyon Towhee",5910,89.581082647227,1.90598048185589,"north","decreasing",0.172062459554862
"Northern Cardinal",5930,100.176366049109,2.13141204359806,"northeast","increasing",0.627371160785313
"Pyrrhuloxia",5940,184.381679214615,3.9230144513748,"northwest","decreasing",0.339399310646187
"American Dipper",7010,421.893108786087,8.97644912310822,"","decreasing",0.317397741648094
"Northern Mockingbird",7030,35.4052362304477,0.753302898520163,"north","decreasing",0.0938891555979917
"Curve-billed Thrasher",7070,243.233000444756,5.17517022222886,"north","decreasing",0.245653890294956
"Cactus Wren",7130,251.999314942809,5.36168755197466,"north","decreasing",0.364061259854402
"Canyon Wren",7170,109.986854532316,2.34014584111311,"","increasing",0.13872702244903
"Carolina Wren",7180,149.502603957651,3.18090646718406,"northeast","increasing",0.355403062787668
"Bewick's Wren",7190,130.510926685611,2.77682822735343,"south","increasing",0.151646719199974
"White-breasted Nuthatch",7270,247.730738064631,5.27086676733257,"east","increasing",0.355527580424943
"Brown-headed Nuthatch",7290,256.737195996253,5.46249353183516,"northeast","decreasing",0.569601049015234
"Pygmy Nuthatch",7300,44.6130292565751,0.949213388437769,"","decreasing",0.0479349454989444
"Tufted Titmouse",7310,188.056903290157,4.00121070830121,"northeast","increasing",0.542069983881993
"Black-capped Chickadee",7350,520.773252712092,11.0802819725977,"east","increasing",0.678554519505526
"Carolina Chickadee",7360,84.8487012177378,1.80529151527102,"","increasing",0.185318212648144
"Mountain Chickadee",7380,109.118385293616,2.32166777220459,"","decreasing",0.17134710267267
"Boreal Chickadee",7400,1950.99017963163,41.5104293538645,"northwest","increasing",0.43170911809096
"Chestnut-backed Chickadee",7410,377.169604544212,8.02488520306835,"","decreasing",0.379055103386278
"Bushtit",7430,167.185365971879,3.5571354462102,"","decreasing",0.126925248364186
"Verdin",7460,75.7917956750299,1.61259139734106,"","decreasing",0.120660114152102
