"analysis","aou","newdir"
"By route","2890","both"
"By route","2940","both"
"By route","2950","NEW"
"By route","3000","NEW"
"By route","3100","both"
"By route","3200","both"
"By route","3210","both"
"By route","3750","both"
"By route","3790","NEW"
"By route","3930","both"
"By route","4000","NEW"
"By route","4010","NEW"
"By route","4050","both"
"By route","4090","both"
"By route","4580","NEW"
"By route","4750","NEW"
"By route","4780","both"
"By route","4840","NEW"
"By route","4860","both"
"By route","4870","NEW"
"By route","4900","both"
"By route","4910","NEW"
"By route","5120","both"
"By route","5130","NEW"
"By route","5300","both"
"By route","5910","NEW"
"By route","5940","both"
"By route","7010","NEW"
"By route","7070","both"
"By route","7170","NEW"
"By route","7270","both"
"By route","7290","both"
"By route","7300","both"
"By route","7350","both"
"By route","7380","both"
"By route","7400","NEW"
"By route","7410","both"
"By route","7430","both"
"By grid","2890","both"
"By grid","2930","both"
"By grid","2940","both"
"By grid","2950","NEW"
"By grid","3000","NEW"
"By grid","3080","both"
"By grid","3100","both"
"By grid","3200","both"
"By grid","3210","both"
"By grid","3260","both"
"By grid","3750","both"
"By grid","3790","NEW"
"By grid","3930","both"
"By grid","4010","NEW"
"By grid","4050","both"
"By grid","4090","both"
"By grid","4580","NEW"
"By grid","4750","NEW"
"By grid","4840","NEW"
"By grid","4860","both"
"By grid","4870","NEW"
"By grid","4900","both"
"By grid","4910","NEW"
"By grid","5120","both"
"By grid","5130","NEW"
"By grid","5300","both"
"By grid","5800","both"
"By grid","5910","NEW"
"By grid","5930","both"
"By grid","5940","both"
"By grid","7030","both"
"By grid","7070","both"
"By grid","7130","NEW"
"By grid","7180","both"
"By grid","7290","both"
"By grid","7300","both"
"By grid","7310","both"
"By grid","7350","both"
"By grid","7380","both"
"By grid","7400","NEW"
"By grid","7410","both"
"By grid","7430","both"
"By strata","2890","both"
"By strata","2930","both"
"By strata","2940","both"
"By strata","2950","NEW"
"By strata","3000","NEW"
"By strata","3080","both"
"By strata","3100","both"
"By strata","3200","both"
"By strata","3210","both"
"By strata","3680","NEW"
"By strata","3750","both"
"By strata","3790","NEW"
"By strata","3850","both"
"By strata","3930","both"
"By strata","4000","NEW"
"By strata","4050","both"
"By strata","4090","both"
"By strata","4750","NEW"
"By strata","4840","NEW"
"By strata","4860","both"
"By strata","4870","NEW"
"By strata","4900","both"
"By strata","4910","NEW"
"By strata","5120","both"
"By strata","5910","NEW"
"By strata","5930","both"
"By strata","5940","both"
"By strata","7030","both"
"By strata","7070","both"
"By strata","7130","NEW"
"By strata","7180","both"
"By strata","7190","NEW"
"By strata","7270","both"
"By strata","7290","both"
"By strata","7310","both"
"By strata","7350","both"
"By strata","7400","NEW"
"By strata with weighted abund.","2890","both"
"By strata with weighted abund.","2930","both"
"By strata with weighted abund.","2940","both"
"By strata with weighted abund.","2950","NEW"
"By strata with weighted abund.","3000","NEW"
"By strata with weighted abund.","3080","both"
"By strata with weighted abund.","3100","both"
"By strata with weighted abund.","3200","both"
"By strata with weighted abund.","3680","NEW"
"By strata with weighted abund.","3750","both"
"By strata with weighted abund.","3930","both"
"By strata with weighted abund.","4000","NEW"
"By strata with weighted abund.","4050","both"
"By strata with weighted abund.","4090","both"
"By strata with weighted abund.","4580","NEW"
"By strata with weighted abund.","4780","both"
"By strata with weighted abund.","4840","NEW"
"By strata with weighted abund.","4860","both"
"By strata with weighted abund.","4870","NEW"
"By strata with weighted abund.","4900","both"
"By strata with weighted abund.","4910","NEW"
"By strata with weighted abund.","4920","NEW"
"By strata with weighted abund.","5120","both"
"By strata with weighted abund.","5300","both"
"By strata with weighted abund.","5910","NEW"
"By strata with weighted abund.","5940","both"
"By strata with weighted abund.","7030","both"
"By strata with weighted abund.","7070","both"
"By strata with weighted abund.","7290","both"
"By strata with weighted abund.","7300","both"
"By strata with weighted abund.","7350","both"
"By strata with weighted abund.","7380","both"
"By strata with weighted abund.","7400","NEW"
"By strata with weighted abund.","7410","both"
"By strata with weighted abund.","7430","both"
