"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,35.5765785892516,-87.8685647331483,35.6828259172521
"2",1971,35.5168680375804,-88.2101997845768,33.6534440983039
"3",1976,35.1049673744647,-88.4152512938215,28.4756461232604
"4",1981,35.2244725241784,-88.517190535163,26.203074433657
"5",1986,35.0919858521059,-88.4570808524923,22.8346405228758
"6",1991,33.8751709448971,-86.8129150334773,19.0361948955916
"7",1996,34.3021814601972,-87.9113294578691,14.1540295842897
"8",2001,33.7353566336107,-87.0893180141587,13.2018007360673
"9",2006,33.7712867656197,-87.3586172738667,10.9260696059246
"10",2011,33.3059272800788,-87.2798307010475,9.44990750686239
