"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,39.1742033303656,-83.9315144448151,2.51427304964539
"2",1971,39.567804995421,-86.0274774272812,2.40145243282498
"3",1976,39.4800753692488,-85.2638559344086,2.70127627627628
"4",1981,39.5548274450838,-85.3019101023026,2.75449303742385
"5",1986,38.3072813437726,-84.3628169246651,2.90784916201117
"6",1991,36.5142155193863,-80.0424885270675,2.68893652226233
"7",1996,36.7803104722375,-80.3251196438524,2.72620549481357
"8",2001,36.1953360845663,-79.8981219873219,2.86390047261607
"9",2006,36.2710015084703,-79.2939089091815,2.8527982726234
"10",2011,35.9792619683961,-79.5857813762101,2.83426807064962
