"","year","centroid.lat","centroid.lon","mean_abund"
"1",1969,44.3076620710812,-87.1782448797401,5.27457892675284
"2",1974,44.473807056253,-86.3487799960626,5.56541708882134
"3",1979,44.3222221583253,-84.8723931488686,6.51963681132656
"4",1984,43.8145321786073,-84.7298000415218,7.32734165923283
"5",1989,42.8566628926181,-83.9860636713676,7.55701571890892
"6",1994,43.1818329924522,-82.7121122872197,7.79287860576923
"7",1999,42.9767400639074,-83.4544948007164,7.59822759315206
"8",2004,42.9877067363018,-81.9294496121821,8.04455601496358
"9",2009,43.2389531994523,-81.8445652661012,7.76760698522357
"10",2014,43.6841600300956,-82.1846042980482,8.16220978441128
