"","species","aou","shift_distance","slope_lat","pvalue_lat","slope_lon","pvalue_lon","r","direction","direction2","shiftdir","popchange"
"1","Northern Bobwhite",2890,259.016483673828,-0.0530734221978059,8.8733058217711e-05,0.0131272177174134,0.467076489884826,-1.12102197899784,"south","","south","decreasing"
"2","Scaled Quail",2930,123.144973931823,-0.013315811899916,0.543602393705926,0.0790759272533183,0.20438544965252,-0.422460793241737,"","","","decreasing"
"3","California Quail",2940,580.955791795507,0.0176209160635309,0.0295280130109836,0.176254651662775,9.77618468533503e-05,-0.151182270689087,"north","east","northeast","decreasing"
"4","Sharp-tailed Grouse",3080,468.001609394652,-0.0616552691437259,0.0159859517891625,0.144967183240723,0.00413825450242899,0.0645590061363293,"south","east","southeast","increasing"
"5","Wild Turkey",3100,667.869150096836,0.0173607688532429,0.406502218077125,0.180516546302765,0.000573473120157974,0.200312050733035,"","east","east","increasing"
"6","Common Ground-Dove",3200,1083.12112905138,-0.0974441219678182,0.000375331633169626,0.275133870245367,0.00132902283813097,-0.456612517955203,"south","east","southeast","decreasing"
"7","Inca Dove",3210,809.841091504109,-0.0145204950527411,0.393642863959445,0.178590673712719,0.00781623140476819,-0.307122967160424,"","east","east","decreasing"
"8","Black Vulture",3260,1336.41455062404,-0.103493492903978,0.00574224878206738,0.303585102677223,0.00233042676137443,0.550351531296541,"south","east","southeast","increasing"
"9","Great Horned Owl",3750,144.370577980125,-0.0633523702525258,0.00172655765971125,0.0552337372137499,0.177870977548763,-0.0645565715114882,"south","","south","decreasing"
"10","Greater Roadrunner",3850,527.180781019099,-0.047787150858277,0.00079970290192878,0.181122390677629,0.000493904841896238,0.138459555454054,"south","east","southeast","increasing"
"11","Hairy Woodpecker",3930,141.171835903019,-0.0439044645946926,0.00586709423828796,0.0440041532795641,0.0218786413329348,0.142933862253156,"south","east","southeast","increasing"
"12","Downy Woodpecker",3940,662.597786299422,-0.0934911866698348,0.000108339812561103,0.172756811792158,3.43560489470544e-05,0.163199166421799,"south","east","southeast","increasing"
"13","Pileated Woodpecker",4050,1011.89854473393,-0.0880530064874351,0.00520527876857408,0.285870049680411,0.000464207754537846,0.264378153558612,"south","east","southeast","increasing"
"14","Red-bellied Woodpecker",4090,801.700464990871,-0.0727179798076632,0.00113899064256122,0.234066650009329,6.71662239312923e-05,0.353518780437034,"south","east","southeast","increasing"
"15","Steller's Jay",4780,445.466130452829,-0.022492618438375,0.0507558988561302,0.165812507078386,0.00168990393113165,-0.216018164038014,"","east","east","decreasing"
"16","Common Raven",4860,281.962236809584,-0.0355653671486496,0.0476250289960708,-0.0525701539841477,0.044572641871071,0.205506619074362,"south","west","southwest","increasing"
"17","Fish Crow",4900,516.633584229447,-0.04193882291517,0.114128487083711,0.187379123934237,0.00663591903749907,-0.402315399433666,"","east","east","decreasing"
"18","Great-tailed Grackle",5120,267.953176872295,0.0556787411211811,1.03648417407297e-05,-0.043797469432842,0.0242457779029144,-0.805745293576993,"north","west","northwest","decreasing"
"19","Lesser Goldfinch",5300,667.746252281271,-0.0480133065333488,0.0174694341765683,0.229305867499786,0.00143654743285572,-0.259180873151553,"south","east","southeast","decreasing"
"20","Rufous-crowned Sparrow",5800,760.001996066784,-0.0609762054503419,0.00429659183666678,0.212927347695176,0.00799575774133496,-0.00772017733933658,"south","east","southeast","decreasing"
"21","Northern Cardinal",5930,581.712538396504,-0.0695091737849751,0.000207117323956812,0.149764014103085,1.39223739884988e-05,0.229792331427102,"south","east","southeast","increasing"
"22","Pyrrhuloxia",5940,122.085850014622,0.0178922186932139,0.00231631512206105,0.0253184335520559,0.111478284981972,-1.25319836892827,"north","","north","decreasing"
"23","Northern Mockingbird",7030,220.02914101867,-0.033979786535461,0.00133294205929177,0.0546059088185812,0.00178273619230532,-0.164790010737825,"south","east","southeast","decreasing"
"24","Curve-billed Thrasher",7070,513.915100050909,0.0296808293319142,0.0136742535495427,-0.0349996425571712,0.275692568797783,-0.200536131342952,"north","","north","decreasing"
"25","Carolina Wren",7180,820.647129482695,-0.0838494838059755,0.00190907236736046,0.221311661970931,0.000886746794131941,0.437175031187004,"south","east","southeast","increasing"
"26","White-breasted Nuthatch",7270,697.505338166658,-0.0986197978184138,0.000690256660379,0.223313660141182,9.06193455704057e-05,0.43133368201784,"south","east","southeast","increasing"
"27","Brown-headed Nuthatch",7290,1140.36635797182,-0.110296800281954,0.0104591317904664,0.339301116211807,0.00402288779257943,-0.0989065902487288,"south","east","southeast","decreasing"
"28","Pygmy Nuthatch",7300,916.8937896254,-0.0446663282844777,3.01199725345819e-05,0.307660675837724,0.00045378027036779,0.0545641048745218,"south","east","southeast","increasing"
"29","Tufted Titmouse",7310,939.087629701681,-0.0994417670876016,6.68143513422147e-05,0.234945968426175,0.000132026918732586,0.6025675072991,"south","east","southeast","increasing"
"30","Black-capped Chickadee",7350,406.427760220083,-0.0280197317828585,0.0290532074343121,0.116711337133277,2.30460228497238e-05,0.384949993191297,"south","east","southeast","increasing"
"31","Carolina Chickadee",7360,945.230675408033,-0.0982839625953637,0.000149441178403375,0.239072380894157,0.000165179524975782,0.327696152132982,"south","east","southeast","increasing"
"32","Mountain Chickadee",7380,796.029265912149,-0.0394522223518123,8.73834260253748e-05,0.218652273123751,5.39459722907163e-05,-0.28963492343885,"south","east","southeast","decreasing"
"33","Chestnut-backed Chickadee",7410,816.565215025691,-0.0510537957951423,0.0347553901278067,0.260569639838048,0.00115738897195094,-0.203512170978819,"south","east","southeast","decreasing"
"34","Bushtit",7430,585.1269421655,-0.0376306235645699,0.0333021948443822,0.202909488135838,0.00828512686853527,-0.441194642292995,"south","east","southeast","decreasing"
"35","Verdin",7460,73.5677928028228,-0.00956901157427017,0.414125290726307,0.0760252046437488,0.0764166010672842,0.174423917269081,"","","","increasing"
