"statebcr","x","y","bcr","aou","time.window","abund.index"
2024,-87.12883127,34.71030169,24,2890,1969,0.0057874777913326
2024,-87.12883127,34.71030169,24,2890,1974,0.00409250806734169
2024,-87.12883127,34.71030169,24,2890,1979,0.0046153071705207
2024,-87.12883127,34.71030169,24,2890,1984,0.00330922660398225
2024,-87.12883127,34.71030169,24,2890,1989,0.00348043566701164
2024,-87.12883127,34.71030169,24,2890,1994,0.00470763777236869
2024,-87.12883127,34.71030169,24,2890,1999,0.00302856603280194
2024,-87.12883127,34.71030169,24,2890,2004,0.00231315673371487
2024,-87.12883127,34.71030169,24,2890,2009,0.000816300354086532
2024,-87.12883127,34.71030169,24,2890,2014,0.000171209063029385
2027,-87.07328258,32.10876098,27,2890,1969,0.0706629722208731
2027,-87.07328258,32.10876098,27,2890,1974,0.0601530832244242
2027,-87.07328258,32.10876098,27,2890,1979,0.0634062403708975
2027,-87.07328258,32.10876098,27,2890,1984,0.0640483002203382
2027,-87.07328258,32.10876098,27,2890,1989,0.0440870314754477
2027,-87.07328258,32.10876098,27,2890,1994,0.047663644465468
2027,-87.07328258,32.10876098,27,2890,1999,0.0392667307669895
2027,-87.07328258,32.10876098,27,2890,2004,0.0221284228966549
2027,-87.07328258,32.10876098,27,2890,2009,0.0147488933460757
2027,-87.07328258,32.10876098,27,2890,2014,0.0104071917661227
2028,-86.47333137,33.94749018,28,2890,1969,0.0153144297688112
2028,-86.47333137,33.94749018,28,2890,1974,0.0139742018317882
2028,-86.47333137,33.94749018,28,2890,1979,0.0147611120138346
2028,-86.47333137,33.94749018,28,2890,1984,0.0139059845743253
2028,-86.47333137,33.94749018,28,2890,1989,0.00795936910054167
2028,-86.47333137,33.94749018,28,2890,1994,0.0134284637720852
2028,-86.47333137,33.94749018,28,2890,1999,0.0105523139473375
2028,-86.47333137,33.94749018,28,2890,2004,0.00632697836387963
2028,-86.47333137,33.94749018,28,2890,2009,0.00288924202567494
2028,-86.47333137,33.94749018,28,2890,2014,0.00145736868216134
2029,-85.77031642,32.97293552,29,2890,1969,0.00508840229347329
2029,-85.77031642,32.97293552,29,2890,1974,0.00629541865145998
2029,-85.77031642,32.97293552,29,2890,1979,0.0081207350555722
2029,-85.77031642,32.97293552,29,2890,1984,0.00480439844453525
2029,-85.77031642,32.97293552,29,2890,1989,0.00285976097889003
2029,-85.77031642,32.97293552,29,2890,1994,0.00359738208654856
2029,-85.77031642,32.97293552,29,2890,1999,0.00331535048656147
2029,-85.77031642,32.97293552,29,2890,2004,0.00203733316634028
2029,-85.77031642,32.97293552,29,2890,2009,0.00129872593420626
2029,-85.77031642,32.97293552,29,2890,2014,0.000981193853101923
7024,-92.80717204,36.02740223,24,2890,1969,0.0149652096278625
7024,-92.80717204,36.02740223,24,2890,1974,0.0170600019214923
7024,-92.80717204,36.02740223,24,2890,1979,0.0215613617093325
7024,-92.80717204,36.02740223,24,2890,1984,0.0134788002932032
7024,-92.80717204,36.02740223,24,2890,1989,0.0123496684856955
7024,-92.80717204,36.02740223,24,2890,1994,0.0115727583912761
7024,-92.80717204,36.02740223,24,2890,1999,0.00730396605035541
7024,-92.80717204,36.02740223,24,2890,2004,0.00710847457323468
7024,-92.80717204,36.02740223,24,2890,2009,0.00821738312448845
7024,-92.80717204,36.02740223,24,2890,2014,0.00763427923583525
7025,-93.09883444,34.27302386,25,2890,1969,0.038971379596864
7025,-93.09883444,34.27302386,25,2890,1974,0.036469513252374
7025,-93.09883444,34.27302386,25,2890,1979,0.0404147640263775
7025,-93.09883444,34.27302386,25,2890,1984,0.0319340786227472
7025,-93.09883444,34.27302386,25,2890,1989,0.0180423053689185
7025,-93.09883444,34.27302386,25,2890,1994,0.0112872662387954
7025,-93.09883444,34.27302386,25,2890,1999,0.00951671467192556
7025,-93.09883444,34.27302386,25,2890,2004,0.00901473764255032
7025,-93.09883444,34.27302386,25,2890,2009,0.00441836011478849
7025,-93.09883444,34.27302386,25,2890,2014,0.00460279256967077
7026,-91.02745049,34.98790996,26,2890,1969,0.0195099151576005
7026,-91.02745049,34.98790996,26,2890,1974,0.0210839003579187
7026,-91.02745049,34.98790996,26,2890,1979,0.0207230606940824
7026,-91.02745049,34.98790996,26,2890,1984,0.0161213849810733
7026,-91.02745049,34.98790996,26,2890,1989,0.0142357067377997
7026,-91.02745049,34.98790996,26,2890,1994,0.00786345934094871
7026,-91.02745049,34.98790996,26,2890,1999,0.00599200775108805
7026,-91.02745049,34.98790996,26,2890,2004,0.00341051682271081
7026,-91.02745049,34.98790996,26,2890,2009,0.00332903689861875
7026,-91.02745049,34.98790996,26,2890,2014,0.00278928629034748
17018,-103.53315222,39.07118012,18,2890,1969,0.000469591545774899
17018,-103.53315222,39.07118012,18,2890,1974,0.00263255866570777
17018,-103.53315222,39.07118012,18,2890,1979,0.0018356760425746
17018,-103.53315222,39.07118012,18,2890,1984,0.000981873232074788
17018,-103.53315222,39.07118012,18,2890,1989,0.00249025819729113
17018,-103.53315222,39.07118012,18,2890,1994,0.00378234645051418
17018,-103.53315222,39.07118012,18,2890,1999,0.00346217039657675
17018,-103.53315222,39.07118012,18,2890,2004,0.00877282387788561
17018,-103.53315222,39.07118012,18,2890,2009,0.00243618401929281
17018,-103.53315222,39.07118012,18,2890,2014,0.00145857980127052
18030,-72.68303066,41.59516813,30,2890,1969,0.000216319319504738
18030,-72.68303066,41.59516813,30,2890,1974,0.00153721916423054
18030,-72.68303066,41.59516813,30,2890,1979,0.000758469614013486
18030,-72.68303066,41.59516813,30,2890,1984,0.00074990697428309
18030,-72.68303066,41.59516813,30,2890,1989,0.00042903331701773
18030,-72.68303066,41.59516813,30,2890,1994,0.000189279404566645
18030,-72.68303066,41.59516813,30,2890,1999,5.40798298761844e-05
2024,NA,NA,NA,2890,2004,NA
2024,NA,NA,NA,2890,2009,NA
2024,NA,NA,NA,2890,2014,NA
21030,-75.49960335,38.95604266,30,2890,1969,0.00608047392386032
21030,-75.49960335,38.95604266,30,2890,1974,0.00619990591303219
21030,-75.49960335,38.95604266,30,2890,1979,0.00520859840806426
21030,-75.49960335,38.95604266,30,2890,1984,0.00462683485123262
21030,-75.49960335,38.95604266,30,2890,1989,0.0028129202753572
21030,-75.49960335,38.95604266,30,2890,1994,0.00257273660652538
21030,-75.49960335,38.95604266,30,2890,1999,0.00152226297800822
21030,-75.49960335,38.95604266,30,2890,2004,0.000574505259147157
21030,-75.49960335,38.95604266,30,2890,2009,0.000237544287855639
21030,-75.49960335,38.95604266,30,2890,2014,0.000140766985395934
25027,-84.32477963,30.35177723,27,2890,1969,0.0222080964874158
25027,-84.32477963,30.35177723,27,2890,1974,0.017966362099579
25027,-84.32477963,30.35177723,27,2890,1979,0.0176556976014539
25027,-84.32477963,30.35177723,27,2890,1984,0.0262202441918837
25027,-84.32477963,30.35177723,27,2890,1989,0.0259577447322276
25027,-84.32477963,30.35177723,27,2890,1994,0.0189352821234471
25027,-84.32477963,30.35177723,27,2890,1999,0.0199900964659182
25027,-84.32477963,30.35177723,27,2890,2004,0.0160148752909432
25027,-84.32477963,30.35177723,27,2890,2009,0.0168681992224857
25027,-84.32477963,30.35177723,27,2890,2014,0.00781477749159561
25031,-81.43538502,27.68041103,31,2890,1969,0.0369960035688016
25031,-81.43538502,27.68041103,31,2890,1974,0.033587483367291
25031,-81.43538502,27.68041103,31,2890,1979,0.0282774018718458
25031,-81.43538502,27.68041103,31,2890,1984,0.0459711780107972
25031,-81.43538502,27.68041103,31,2890,1989,0.0347152667307732
25031,-81.43538502,27.68041103,31,2890,1994,0.0273932002283381
25031,-81.43538502,27.68041103,31,2890,1999,0.0213223318275057
25031,-81.43538502,27.68041103,31,2890,2004,0.0167040224167882
25031,-81.43538502,27.68041103,31,2890,2009,0.0136876687844367
25031,-81.43538502,27.68041103,31,2890,2014,0.0108840431875296
27027,-83.02676988,31.85749234,27,2890,1969,0.0385551469202647
27027,-83.02676988,31.85749234,27,2890,1974,0.0693591295305572
27027,-83.02676988,31.85749234,27,2890,1979,0.081071696422215
27027,-83.02676988,31.85749234,27,2890,1984,0.0745920407227473
27027,-83.02676988,31.85749234,27,2890,1989,0.0556090746975539
27027,-83.02676988,31.85749234,27,2890,1994,0.0417915590316224
27027,-83.02676988,31.85749234,27,2890,1999,0.031183983504634
27027,-83.02676988,31.85749234,27,2890,2004,0.0253499023582498
27027,-83.02676988,31.85749234,27,2890,2009,0.0278263126809246
