"","aou","weightedbias","species"
"1",2890,285.376203563589,"Northern Bobwhite"
"2",2930,171.045399150819,"Scaled Quail"
"3",2940,395.975638956014,"California Quail"
"4",2950,397.947169682613,"Gambel's Quail"
"5",3000,132.540603982877,"Ruffed Grouse"
"6",3080,140.11073270889,"Sharp-tailed Grouse"
"7",3100,73.6681366382201,"Wild Turkey"
"8",3200,70.3499749803623,"Common Ground-Dove"
"9",3210,73.0542847274937,"Inca Dove"
"10",3260,83.890843045436,"Black Vulture"
"11",3680,48.7153711511656,"Barred Owl"
"12",3730,22.4444848945141,"Eastern Screech-Owl"
"13",3750,62.1997234302406,"Great Horned Owl"
"14",3790,74.2752331852377,"Northern Pygmy-Owl"
"15",3850,43.5632265920192,"Greater Roadrunner"
"16",3930,82.2714277972758,"Hairy Woodpecker"
"17",3940,86.915011906814,"Downy Woodpecker"
"18",3960,60.5473984501641,"Ladder-backed Woodpecker"
"19",4000,213.919317901114,"Black-backed Woodpecker"
"20",4010,166.195190337221,"American Three-toed Woodpecker"
"21",4050,89.0376060516079,"Pileated Woodpecker"
"22",4090,120.731216016576,"Red-bellied Woodpecker"
"23",4580,47.0197177106083,"Black Phoebe"
"24",4750,428.301188849963,"Black-billed Magpie"
"25",4780,268.931863857176,"Steller's Jay"
"26",4840,564.476713247814,"Gray Jay"
"27",4860,522.441120717167,"Common Raven"
"28",4870,172.277600062988,"Chihuahuan Raven"
"29",4900,72.7154510212259,"Fish Crow"
"30",4910,132.981684031168,"Clark's Nutcracker"
"31",4920,265.651679526397,"Pinyon Jay"
"32",5120,426.139075523867,"Great-tailed Grackle"
"33",5130,552.511973279355,"Boat-tailed Grackle"
"34",5300,133.608608932516,"Lesser Goldfinch"
"35",5800,92.7433267444339,"Rufous-crowned Sparrow"
"36",5910,131.70450728844,"Canyon Towhee"
"37",5930,454.291819511742,"Northern Cardinal"
"38",5940,346.936704429507,"Pyrrhuloxia"
"39",7010,78.5715545582777,"American Dipper"
"40",7030,315.238548675776,"Northern Mockingbird"
"41",7070,87.441443203719,"Curve-billed Thrasher"
"42",7130,252.39998642725,"Cactus Wren"
"43",7170,52.4703148171126,"Canyon Wren"
"44",7180,184.654227008646,"Carolina Wren"
"45",7190,125.635854030485,"Bewick's Wren"
"46",7270,83.3347202037437,"White-breasted Nuthatch"
"47",7290,49.8684088635526,"Brown-headed Nuthatch"
"48",7300,155.460314947886,"Pygmy Nuthatch"
"49",7310,166.147095694434,"Tufted Titmouse"
"50",7350,302.90361707436,"Black-capped Chickadee"
"51",7360,132.482281021498,"Carolina Chickadee"
"52",7380,298.157083923673,"Mountain Chickadee"
"53",7400,316.706103529128,"Boreal Chickadee"
"54",7410,655.574458992082,"Chestnut-backed Chickadee"
"55",7430,192.592915368906,"Bushtit"
"56",7460,176.266660171055,"Verdin"
